title,movieId,genres,tmdbId,content
21 (2008),58803,Crime|Drama|Romance|Thriller,8065,Crime Drama Romance Thriller
21 Grams (2003),6953,Crime|Drama|Mystery|Romance|Thriller,470,Crime Drama Mystery Romance Thriller
21 Jump Street (2012),93510,Action|Comedy|Crime,64688,Action Comedy Crime
21 Up (1977),52767,Documentary,20553,Documentary
21 and Over (2013),100507,Comedy,107811,Comedy
22 Jump Street (2014),112138,Action|Comedy|Crime,187017,Action Comedy Crime
24 Hour Party People (2002),5508,Comedy|Drama|Musical,2750,Comedy Drama Musical
25th Hour (2002),5954,Crime|Drama,1429,Crime Drama
27 Dresses (2008),56949,Comedy|Romance,6557,Comedy Romance
28 Days (2000),3534,Drama,10468,Drama
28 Days Later (2002),6502,Action|Horror|Sci-Fi,170,Action Horror Sci-Fi
28 Up (1985),7566,Documentary,20561,Documentary
28 Weeks Later (2007),53000,Horror|Sci-Fi|Thriller,1562,Horror Sci-Fi Thriller
3 Days to Kill (2014),109569,Action|Crime|Drama,192102,Action Crime Drama
3 Extremes (Three... Extremes) (Saam gaang yi) (2004),33896,Horror,33908,Horror
3 Idiots (2009),73881,Comedy|Drama|Romance,20453,Comedy Drama Romance
3 Ninjas (1992),4748,Action|Children|Comedy,16314,Action Children Comedy
3 Ninjas Kick Back (1994),4749,Action|Children|Comedy,18885,Action Children Comedy
3 Ninjas Knuckle Up (1995),4750,Action|Children,40508,Action Children
3 Ninjas: High Noon On Mega Mountain (1998),1739,Action|Children|Comedy,32302,Action Children Comedy
3 Women (Three Women) (1977),8261,Drama,41662,Drama
3 dev adam (Three Giant Men) (1973) ,104017,Action|Adventure|Sci-Fi,58447,Action Adventure Sci-Fi
3-Iron (Bin-jip) (2004),30803,Drama|Romance,1280,Drama Romance
30 Days of Night (2007),55282,Horror|Thriller,4513,Horror Thriller
30 Minutes or Less (2011),88812,Action|Comedy|Crime,62206,Action Comedy Crime
300 (2007),51662,Action|Fantasy|War|IMAX,1271,Action Fantasy War IMAX
3000 Miles to Graceland (2001),4159,Action|Thriller,12138,Action Thriller
300: Rise of an Empire (2014),109673,Action|Drama|War|IMAX,53182,Action Drama War IMAX
31 (2016),163981,Horror,284564,Horror
35 Up (1991),26712,Documentary,20562,Documentary
"39 Steps, The (1935)",965,Drama|Mystery|Thriller,260,Drama Mystery Thriller
3:10 to Yuma (1957),5300,Action|Adventure|Drama|Thriller|Western,14168,Action Adventure Drama Thriller Western
3:10 to Yuma (2007),54997,Action|Crime|Drama|Western,5176,Action Crime Drama Western
4 Little Girls (1997),4217,Documentary,26580,Documentary
"4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamâni si 2 zile) (2007)",55069,Drama,2009,Drama
40 Days and 40 Nights (2002),5151,Comedy|Romance,2752,Comedy Romance
"40-Year-Old Virgin, The (2005)",35836,Comedy|Romance,6957,Comedy Romance
"400 Blows, The (Les quatre cents coups) (1959)",2731,Crime|Drama,147,Crime Drama
42 (2013),101895,Drama,109410,Drama
42 Up (1998),3077,Documentary,20565,Documentary
42nd Street (1933),7080,Drama|Musical|Romance,3062,Drama Musical Romance
47 Ronin (2013),106491,Action|Adventure|Fantasy,64686,Action Adventure Fantasy
48 Hrs. (1982),5049,Action|Comedy|Crime|Drama,150,Action Comedy Crime Drama
49 Up (2005),50658,Documentary,13365,Documentary
5 Centimeters per Second (Byôsoku 5 senchimêtoru) (2007),64993,Animation|Drama|Romance,38142,Animation Drama Romance
5 to 7 (2014),134021,Comedy|Drama|Romance,259954,Comedy Drama Romance
"5,000 Fingers of Dr. T, The (1953)",4294,Children|Fantasy|Musical,33743,Children Fantasy Musical
50 First Dates (2004),7293,Comedy|Romance,1824,Comedy Romance
50/50 (2011),89864,Comedy|Drama,40807,Comedy Drama
52 Pick-Up (1986),2475,Action|Mystery|Thriller,18588,Action Mystery Thriller
54 (1998),2188,Drama,3682,Drama
6 Days to Air: The Making of South Park (2011),96411,Documentary,76360,Documentary
61* (2001),27373,Drama,20536,Drama
"6th Day, The (2000)",3986,Action|Sci-Fi|Thriller,8452,Action Sci-Fi Thriller
"6th Man, The (Sixth Man, The) (1997)",6425,Comedy,36807,Comedy
7 Days in Hell (2015),138204,Comedy,287689,Comedy
7 Faces of Dr. Lao (1964),42556,Fantasy|Mystery|Western,14241,Fantasy Mystery Western
"7th Voyage of Sinbad, The (1958)",3153,Action|Adventure|Fantasy,15515,Action Adventure Fantasy
8 1/2 (8½) (1963),1251,Drama|Fantasy,422,Drama Fantasy
8 Heads in a Duffel Bag (1997),1503,Comedy,13982,Comedy
8 Mile (2002),5810,Drama,65,Drama
8 Seconds (1994),408,Drama,18069,Drama
8 Women (2002),5613,Comedy|Crime|Musical|Mystery,1958,Comedy Crime Musical Mystery
8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women) (1999),3626,Comedy,11332,Comedy
800 Bullets (800 Balas) (2002),32392,Comedy|Crime|Drama|Western,37748,Comedy Crime Drama Western
84 Charing Cross Road (1987),5404,Drama|Romance,15677,Drama Romance
8MM (1999),2505,Drama|Mystery|Thriller,8224,Drama Mystery Thriller
9 (2009),71057,Adventure|Animation|Sci-Fi,12244,Adventure Animation Sci-Fi
9 1/2 Weeks (Nine 1/2 Weeks) (1986),3707,Drama|Romance,10068,Drama Romance
9/11 (2002),44943,Documentary,11304,Documentary
96 Minutes (2011) ,94494,Drama|Thriller,89326,Drama Thriller
964 Pinocchio (1991),140852,Horror|Sci-Fi,50162,Horror Sci-Fi
99 francs (2007),59026,Comedy,8827,Comedy
9to5: Days in Porn (a.k.a. 9 to 5: Days in Porn) (2008),69953,Documentary,19929,Documentary
A Bad Moms Christmas (2017),179953,Comedy,431530,Comedy
A Christmas Story Live! (2017),182727,(no genres listed),485517,(no genres listed)
A Cosmic Christmas (1977),149330,(no genres listed),125464,(no genres listed)
A Detective Story (2003),172875,Animation|Sci-Fi,24660,Animation Sci-Fi
A Dog's Purpose (2017),167380,Comedy|Drama,381289,Comedy Drama
A Flintstones Christmas Carol (1994),126088,Animation|Children|Comedy,48874,Animation Children Comedy
A German Life (2016),175707,Documentary,411516,Documentary
A Home at the End of the World (2004),8667,Drama|Romance,18923,Drama Romance
A Man Called Blade (1977),119828,Action|Drama|Thriller|Western,19946,Action Drama Thriller Western
A Man from Boulevard des Capucines (1987),146024,Comedy|Romance|Western,45227,Comedy Romance Western
A Merry Friggin' Christmas (2014),119964,Comedy,286532,Comedy
A Midsummer Night's Dream (2016),159779,(no genres listed),398854,(no genres listed)
A Million Ways to Die in the West (2014),111743,Comedy|Western,188161,Comedy Western
A Most Wanted Man (2014),112940,Thriller,157849,Thriller
A Perfect Day (2015),147410,Comedy|Drama,321751,Comedy Drama
A Pigeon Sat on a Branch Reflecting on Existence (2014),127298,Comedy|Drama,110390,Comedy Drama
A Plasticine Crow (1981),170597,Animation,129229,Animation
A Quiet Place (2018),185029,Drama|Horror|Thriller,447332,Drama Horror Thriller
A Silent Voice (2016),166291,Animation|Drama|Romance,378064,Animation Drama Romance
A Story of Children and Film (2013),127172,Documentary,194537,Documentary
A Street Cat Named Bob (2016),167732,Comedy|Drama,404378,Comedy Drama
A Very Murray Christmas (2015),148238,Comedy,364067,Comedy
A Walk in the Woods (2015),127134,Adventure|Comedy|Drama,232572,Adventure Comedy Drama
A Wrinkle in Time (2018),184987,Adventure|Children|Fantasy|Sci-Fi,407451,Adventure Children Fantasy Sci-Fi
"A-Team, The (2010)",78469,Action|Comedy|Thriller,34544,Action Comedy Thriller
A.I. Artificial Intelligence (2001),4370,Adventure|Drama|Sci-Fi,644,Adventure Drama Sci-Fi
"ABCs of Death, The (2012)",100397,Horror,87436,Horror
ARQ (2016),163985,Sci-Fi|Thriller,410199,Sci-Fi Thriller
AVP: Alien vs. Predator (2004),8810,Action|Horror|Sci-Fi|Thriller,395,Action Horror Sci-Fi Thriller
AVPR: Aliens vs. Predator - Requiem (2007),56801,Action|Horror|Sci-Fi,440,Action Horror Sci-Fi
"Abandoned, The (2006)",51666,Horror|Mystery|Thriller,10790,Horror Mystery Thriller
Abbott and Costello Meet Frankenstein (1948),3928,Comedy|Horror,3073,Comedy Horror
Abduction (2011),90524,Action|Drama|Mystery|Thriller,59965,Action Drama Mystery Thriller
"Abominable Dr. Phibes, The (1971)",4195,Horror|Mystery,17965,Horror Mystery
"Abominable Snowman, The (Abominable Snowman of the Himalayas, The) (1957)",3648,Horror|Sci-Fi,38006,Horror Sci-Fi
About Adam (2000),3862,Comedy,18168,Comedy
About Last Night (2014),109372,Comedy|Romance,222899,Comedy Romance
About Last Night... (1986),2262,Comedy|Drama|Romance,18169,Comedy Drama Romance
About Schmidt (2002),5945,Comedy|Drama,2755,Comedy Drama
About Time (2013),104374,Drama|Fantasy|Romance,122906,Drama Fantasy Romance
About a Boy (2002),5377,Comedy|Drama|Romance,245,Comedy Drama Romance
Above the Law (1988),4466,Action|Crime|Drama,9395,Action Crime Drama
Above the Rim (1994),409,Crime|Drama,19092,Crime Drama
Abraham Lincoln: Vampire Hunter (2012),95207,Action|Fantasy|Horror|Thriller,72331,Action Fantasy Horror Thriller
Absence of Malice (1981),5707,Drama|Romance,19429,Drama Romance
"Absent-Minded Professor, The (1961)",2015,Children|Comedy|Fantasy,17984,Children Comedy Fantasy
Absentia (2011),93819,Horror,74777,Horror
Absolute Power (1997),1459,Mystery|Thriller,66,Mystery Thriller
Absolutely Anything (2015),135885,Comedy|Sci-Fi,86828,Comedy Sci-Fi
"Abyss, The (1989)",1127,Action|Adventure|Sci-Fi|Thriller,2756,Action Adventure Sci-Fi Thriller
Accepted (2006),47518,Comedy,9788,Comedy
"Accidental Spy, The (Dak miu mai shing) (2001)",27426,Action|Comedy|Thriller,11847,Action Comedy Thriller
"Accidental Tourist, The (1988)",4464,Comedy|Drama|Romance,31052,Comedy Drama Romance
"Accused, The (1988)",4465,Drama,10868,Drama
Ace Ventura: Pet Detective (1994),344,Comedy,3049,Comedy
Ace Ventura: When Nature Calls (1995),19,Comedy,9273,Comedy
"Ace in the Hole (Big Carnival, The) (1951)",3736,Drama,25364,Drama
Aces: Iron Eagle III (1992),2817,Action,2038,Action
"Acid House, The (1998)",2765,Comedy|Drama,12229,Comedy Drama
Across the Hall (2009),86960,Thriller,21469,Thriller
Across the Universe (2007),54190,Drama|Fantasy|Musical|Romance,4688,Drama Fantasy Musical Romance
"Act of Killing, The (2012)",100556,Documentary,123678,Documentary
Act of Valor (2012),93297,Action|Thriller|War,75674,Action Thriller War
Action Jackson (1988),3710,Action|Comedy|Crime|Thriller,10117,Action Comedy Crime Thriller
Adam and Eve (National Lampoon's Adam & Eve) (2005),103245,Comedy|Drama|Romance,53928,Comedy Drama Romance
Adam's Apples (Adams æbler) (2005),47491,Comedy|Drama,1023,Comedy Drama
Adam's Rib (1949),7121,Comedy|Romance,25431,Comedy Romance
Adanggaman (2000),4449,Drama,78248,Drama
Adaptation (2002),5902,Comedy|Drama|Romance,2757,Comedy Drama Romance
Addams Family Reunion (1998),27075,Children|Comedy|Fantasy,11508,Children Comedy Fantasy
Addams Family Values (1993),410,Children|Comedy|Fantasy,2758,Children Comedy Fantasy
"Addams Family, The (1991)",2124,Children|Comedy|Fantasy,2907,Children Comedy Fantasy
Addicted to Love (1997),1541,Comedy|Romance,2058,Comedy Romance
"Addiction, The (1995)",152,Drama|Horror,34996,Drama Horror
"Adjustment Bureau, The (2011)",84954,Romance|Sci-Fi|Thriller,38050,Romance Sci-Fi Thriller
Admission (2013),101612,Comedy|Romance,144340,Comedy Romance
Adventureland (2009),67734,Comedy|Drama,16614,Comedy Drama
Adventures Of Sherlock Holmes And Dr. Watson: The Twentieth Century Approaches (1986),147300,Crime|Mystery,270393,Crime Mystery
Adventures in Babysitting (1987),2133,Adventure|Comedy,14367,Adventure Comedy
Adventures in Plymptoons! (2011),178129,Documentary,103008,Documentary
"Adventures of Baron Munchausen, The (1988)",4467,Adventure|Comedy|Fantasy,14506,Adventure Comedy Fantasy
"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)",3070,Adventure|Comedy|Sci-Fi,11379,Adventure Comedy Sci-Fi
"Adventures of Elmo in Grouchland, The (1999)",2886,Children|Comedy,16112,Children Comedy
"Adventures of Ford Fairlane, The (1990)",7193,Action|Comedy,9548,Action Comedy
"Adventures of Huck Finn, The (1993)",5076,Adventure|Children|Comedy|Drama,34723,Adventure Children Comedy Drama
"Adventures of Ichabod and Mr. Toad, The (1949)",3964,Animation|Children,13465,Animation Children
"Adventures of Mary-Kate and Ashley, The: The Case of the Christmas Caper (1995)",95738,Children|Musical|Mystery,193976,Children Musical Mystery
"Adventures of Milo and Otis, The (Koneko monogatari) (1986)",2846,Adventure|Children|Comedy|Drama,47951,Adventure Children Comedy Drama
Adventures of Mowgli: The Kidnapping (1968),172825,Adventure|Animation|Children,195065,Adventure Animation Children
"Adventures of Pinocchio, The (1996)",828,Adventure|Children,18975,Adventure Children
"Adventures of Pluto Nash, The (2002)",5523,Action|Adventure|Comedy|Sci-Fi,11692,Action Adventure Comedy Sci-Fi
"Adventures of Priscilla, Queen of the Desert, The (1994)",345,Comedy|Drama,2759,Comedy Drama
"Adventures of Robin Hood, The (1938)",940,Action|Adventure|Romance,10907,Action Adventure Romance
"Adventures of Rocky and Bullwinkle, The (2000)",3754,Adventure|Animation|Children|Comedy|Fantasy,17711,Adventure Animation Children Comedy Fantasy
"Adventures of Sebastian Cole, The (1998)",2766,Comedy|Drama,67323,Comedy Drama
"Adventures of Sharkboy and Lavagirl 3-D, The (2005)",33681,Action|Adventure|Children|Fantasy,14199,Action Adventure Children Fantasy
"Adventures of Tintin, The (2011)",90746,Action|Animation|Mystery|IMAX,17578,Action Animation Mystery IMAX
Advise and Consent (1962),26078,Drama,17185,Drama
Aelita: The Queen of Mars (Aelita) (1924),71999,Action|Adventure|Drama|Fantasy|Romance|Sci-Fi|Thriller,2973,Action Adventure Drama Fantasy Romance Sci-Fi Thriller
Aeon Flux (2005),37386,Action|Sci-Fi,8202,Action Sci-Fi
"Affair of Love, An (Liaison pornographique, Une) (1999)",3855,Drama|Romance,46991,Drama Romance
"Affair of the Necklace, The (2001)",4959,Drama,19076,Drama
"Affair to Remember, An (1957)",932,Drama|Romance,8356,Drama Romance
Afflicted (2013),111551,Horror|Sci-Fi|Thriller,210947,Horror Sci-Fi Thriller
Affliction (1997),2439,Drama,31662,Drama
Afonya (1975),134041,Comedy|Drama|Romance,20870,Comedy Drama Romance
Africa: The Serengeti (1994),4458,Documentary|IMAX,13794,Documentary IMAX
African Cats (2011),86593,Adventure|Documentary,57586,Adventure Documentary
"African Queen, The (1951)",969,Adventure|Comedy|Romance|War,488,Adventure Comedy Romance War
Afro Samurai (2007),139130,Action|Adventure|Animation|Drama|Fantasy,62931,Action Adventure Animation Drama Fantasy
Afro Samurai: Resurrection (2009),66335,Animation,14711,Animation
After Earth (2013),102880,Action|Adventure|Sci-Fi|IMAX,82700,Action Adventure Sci-Fi IMAX
After Hours (1985),7419,Comedy|Thriller,10843,Comedy Thriller
After Life (Wandafuru raifu) (1998),2624,Drama|Fantasy,17962,Drama Fantasy
After the Fox (Caccia alla volpe) (1966),5113,Comedy|Crime,19137,Comedy Crime
After the Sunset (2004),8968,Action|Adventure|Comedy|Crime|Thriller,10589,Action Adventure Comedy Crime Thriller
After the Thin Man (1936),7834,Comedy|Crime|Mystery|Romance,14588,Comedy Crime Mystery Romance
After the Wedding (Efter brylluppet) (2006),50514,Drama,3549,Drama
Afterglow (1997),1733,Drama|Romance,26941,Drama Romance
Against All Odds (1984),3206,Romance,22160,Romance
Against the Ropes (2004),7315,Comedy|Drama,8842,Comedy Drama
"Age of Innocence, The (1993)",412,Drama,10436,Drama
Agent Cody Banks (2003),6624,Action|Adventure|Children|Fantasy,10923,Action Adventure Children Fantasy
Agent Cody Banks 2: Destination London (2004),7345,Action|Adventure|Children|Comedy,17047,Action Adventure Children Comedy
Agnes of God (1985),3251,Drama|Mystery,24735,Drama Mystery
"Agony and the Ecstasy, The (1965)",32139,Drama,36815,Drama
Agora (2009),74624,Adventure|Drama|Romance,26428,Adventure Drama Romance
"Aguirre: The Wrath of God (Aguirre, der Zorn Gottes) (1972)",7063,Adventure|Drama,2000,Adventure Drama
Aileen: Life and Death of a Serial Killer (2003),7171,Documentary,37088,Documentary
Air America (1990),3841,Action|Comedy,11856,Action Comedy
Air Bud (1997),1592,Children|Comedy,20737,Children Comedy
Air Bud: Golden Receiver (1998),2152,Children|Comedy,21661,Children Comedy
Air Force One (1997),1608,Action|Thriller,9772,Action Thriller
"Air I Breathe, The (2007)",58078,Crime|Drama|Romance|Thriller,13641,Crime Drama Romance Thriller
"Air Up There, The (1994)",414,Comedy,46094,Comedy
Airborne (1993),33629,Adventure|Comedy,13064,Adventure Comedy
Airheads (1994),413,Comedy,13595,Comedy
Airplane II: The Sequel (1982),2792,Comedy,2665,Comedy
Airplane! (1980),2791,Comedy,813,Comedy
Airport '77 (1977),2522,Drama,7227,Drama
Airport (1970),2520,Drama,10671,Drama
Airport 1975 (1974),2521,Action|Drama|Thriller,27932,Action Drama Thriller
Akeelah and the Bee (2006),44709,Drama,13751,Drama
Akira (1988),1274,Action|Adventure|Animation|Sci-Fi,149,Action Adventure Animation Sci-Fi
Akira Kurosawa's Dreams (Dreams) (1990),6270,Drama|Fantasy,12516,Drama Fantasy
Aladdin (1992),588,Adventure|Animation|Children|Comedy|Musical,812,Adventure Animation Children Comedy Musical
Aladdin and the King of Thieves (1996),1064,Animation|Children|Comedy|Fantasy|Musical|Romance,11238,Animation Children Comedy Fantasy Musical Romance
"Alamo, The (1960)",4042,Action|Drama|War|Western,11209,Action Drama War Western
Alan Partridge: Alpha Papa (2013),104078,Comedy,177699,Comedy
Alaska (1996),808,Adventure|Children,36344,Adventure Children
Alaska: Spirit of the Wild (1997),4459,Documentary|IMAX,13795,Documentary IMAX
Albatross (2011),91935,Drama,72842,Drama
Albino Alligator (1996),1352,Crime|Thriller,8744,Crime Thriller
Alesha Popovich and Tugarin the Dragon (2004),165959,Animation|Comedy|Drama,33065,Animation Comedy Drama
Alex Cross (2012),97742,Action|Crime|Mystery|Thriller,94348,Action Crime Mystery Thriller
Alex and Emma (2003),6493,Comedy|Drama|Romance,17813,Comedy Drama Romance
Alexander (2004),8977,Action|Adventure|Drama|War,1966,Action Adventure Drama War
Alexander Nevsky (Aleksandr Nevskiy) (1938),7756,Action|Drama|War,10235,Action Drama War
Alfie (1966),4191,Comedy|Drama|Romance,15598,Comedy Drama Romance
Alfie (2004),8948,Comedy|Drama|Romance,8849,Comedy Drama Romance
Ali (2001),5009,Drama,8489,Drama
Ali G Indahouse (2002),27478,Comedy,9298,Comedy
Ali Wong: Baby Cobra (2016),159161,(no genres listed),396292,(no genres listed)
Ali: Fear Eats the Soul (Angst essen Seele auf) (1974),6509,Drama|Romance,216,Drama Romance
Alias Betty (Betty Fisher et autres histoires) (2001),5575,Crime|Drama,55903,Crime Drama
Alice (1990),4392,Comedy|Drama|Fantasy|Romance,8217,Comedy Drama Fantasy Romance
Alice (2009),72982,Action|Adventure|Fantasy,61872,Action Adventure Fantasy
Alice (Neco z Alenky) (1988),26631,Animation|Fantasy|Mystery,18917,Animation Fantasy Mystery
Alice Adams (1935),6020,Comedy|Drama,43886,Comedy Drama
Alice Doesn't Live Here Anymore (1974),8838,Drama|Romance,16153,Drama Romance
Alice Through the Looking Glass (2016),158813,Adventure|Children|Fantasy,241259,Adventure Children Fantasy
Alice in Wonderland (1933),80748,Adventure|Children|Fantasy,25694,Adventure Children Fantasy
Alice in Wonderland (1951),1032,Adventure|Animation|Children|Fantasy|Musical,12092,Adventure Animation Children Fantasy Musical
Alice in Wonderland (2010),74789,Adventure|Fantasy|IMAX,12155,Adventure Fantasy IMAX
Alien (1979),1214,Horror|Sci-Fi,348,Horror Sci-Fi
Alien Contamination (1980),6835,Action|Horror|Sci-Fi,39916,Action Horror Sci-Fi
Alien Nation (1988),3701,Crime|Drama|Sci-Fi|Thriller,10128,Crime Drama Sci-Fi Thriller
Alien from L.A. (1988),6899,Sci-Fi,31397,Sci-Fi
Alien: Covenant (2017),169984,Action|Horror|Sci-Fi|Thriller,126889,Action Horror Sci-Fi Thriller
Alien: Resurrection (1997),1690,Action|Horror|Sci-Fi,8078,Action Horror Sci-Fi
Aliens (1986),1200,Action|Adventure|Horror|Sci-Fi,679,Action Adventure Horror Sci-Fi
Alien³ (a.k.a. Alien 3) (1992),1320,Action|Horror|Sci-Fi|Thriller,8077,Action Horror Sci-Fi Thriller
Alive (1993),3250,Drama,7305,Drama
All About Eve (1950),926,Drama,705,Drama
All About Lily Chou-Chou (Riri Shushu no subete) (2001),5465,Crime|Drama|Thriller,16664,Crime Drama Thriller
All About My Mother (Todo sobre mi madre) (1999),3083,Drama,99,Drama
All About the Benjamins (2002),5170,Action|Comedy|Crime,13950,Action Comedy Crime
"All Dogs Christmas Carol, An (1998)",105540,Animation|Children|Comedy|Musical,51985,Animation Children Comedy Musical
All Dogs Go to Heaven (1989),2123,Animation|Children|Comedy|Drama|Fantasy,11497,Animation Children Comedy Drama Fantasy
All Dogs Go to Heaven 2 (1996),631,Adventure|Animation|Children|Fantasy|Musical|Romance,19042,Adventure Animation Children Fantasy Musical Romance
All Good Things (2010),82378,Drama|Mystery|Thriller,46503,Drama Mystery Thriller
All Is Lost (2013),105954,Action|Adventure|Drama,152747,Action Adventure Drama
All Over the Guy (2001),4722,Comedy,21055,Comedy
All Quiet on the Western Front (1930),1927,Action|Drama|War,143,Action Drama War
All Roads Lead to Rome (2016),164375,Comedy,298583,Comedy
All That Heaven Allows (1955),4419,Drama|Romance,43316,Drama Romance
All That Jazz (1979),2971,Drama|Fantasy|Musical,16858,Drama Fantasy Musical
